from_id;to_id;walk_t;walk_d;pt_m_tt;pt_m_t;pt_m_d;car_m_t;car_m_d
5785640;5785642;50;3470;50;50;3470;12;1324
5785641;5785642;53;3676;53;53;3676;12;1184
5785642;5785642;0;0;0;0;0;0;0
5785643;5785642;58;4087;58;58;4087;36;15775
5787544;5785642;43;2981;43;43;2981;28;9326
5787545;5785642;44;3050;44;44;3050;28;9316
5787546;5785642;-1;-1;-1;-1;-1;13;1716
5787547;5785642;60;4175;60;60;4175;11;1242
5787548;5785642;56;3902;56;56;3902;10;907
5787549;5785642;60;4195;60;60;4195;11;734
5787550;5785642;145;10151;145;145;10151;34;15574
5789447;5785642;52;3651;52;52;3651;23;8935
5789448;5785642;56;3931;56;56;3931;23;8668
5789449;5785642;-1;-1;-1;-1;-1;23;8910
5789450;5785642;-1;-1;-1;-1;-1;27;9229
5789451;5785642;-1;-1;-1;-1;-1;15;1876
5789452;5785642;68;4746;68;68;4746;12;1652
5789453;5785642;63;4380;63;63;4380;10;1213
5789454;5785642;60;4184;60;60;4184;10;1066
5789455;5785642;69;4814;69;69;4814;12;1787
5789456;5785642;143;9991;143;143;9991;32;15484
5791353;5785642;60;4197;60;60;4197;23;9224
5791354;5785642;57;3965;57;57;3965;22;8922
5791355;5785642;57;3994;57;57;3994;21;8482
5791356;5785642;62;4342;62;62;4342;23;8635
5791357;5785642;-1;-1;-1;-1;-1;27;9221
5791358;5785642;-1;-1;-1;-1;-1;13;2229
5791359;5785642;68;4729;68;68;4729;10;1585
5791360;5785642;65;4537;65;65;4537;12;1428
5791361;5785642;66;4614;66;66;4614;13;1665
5791362;5785642;70;4925;70;70;4925;15;1973
5791363;5785642;143;9986;143;143;9986;33;15380
5793258;5785642;65;4583;65;65;4583;23;9570
5793259;5785642;61;4283;61;61;4283;25;9435
5793260;5785642;62;4316;62;62;4316;24;8848
5793261;5785642;61;4277;61;61;4277;21;8357
5793262;5785642;63;4384;63;63;4384;23;8456
5793263;5785642;-1;-1;-1;-1;-1;26;8362
5793264;5785642;-1;-1;-1;-1;-1;13;2264
5793265;5785642;70;4902;70;70;4902;11;1709
5793266;5785642;71;4961;71;71;4961;14;2215
5793267;5785642;-1;-1;-1;-1;-1;17;1888
5793268;5785642;-1;-1;-1;-1;-1;17;2115
5793269;5785642;-1;-1;-1;-1;-1;18;5061
5793270;5785642;155;10867;155;155;10867;32;14835
5795164;5785642;67;4658;67;67;4658;25;9719
5795165;5785642;68;4740;68;68;4740;23;8385
5795166;5785642;-1;-1;-1;-1;-1;23;8235
5795167;5785642;67;4677;67;67;4677;20;7855
5795168;5785642;65;4574;65;65;4574;21;7943
5795169;5785642;77;5408;77;66;5409;24;8166
5795170;5785642;77;5405;77;77;5405;11;2231
5795171;5785642;73;5101;73;73;5101;12;2040
5795172;5785642;73;5140;73;73;5140;13;2168
5795173;5785642;-1;-1;-1;-1;-1;15;2259
