from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5785642;50;3471;51;32;11590;50;50;3471;50;50;3471;22;12167;21;12167;16
5785641;5785642;53;3676;-1;-1;-1;53;53;3676;53;53;3676;-1;12378;-1;12378;-1
5785642;5785642;0;0;-1;-1;-1;0;0;0;0;0;0;-1;0;-1;0;-1
5785643;5785642;58;4087;69;44;14683;58;58;4087;58;58;4087;4;15915;4;15915;4
5787544;5785642;43;2981;48;30;11051;43;43;2981;43;43;2981;21;11742;20;11742;15
5787545;5785642;44;3050;48;30;11051;44;44;3050;44;44;3050;21;12028;20;12028;15
5787546;5785642;47;3276;48;30;11051;47;47;3276;47;47;3276;5;1855;5;1855;4
5787547;5785642;60;4175;-1;-1;-1;60;60;4175;60;60;4175;5;1382;5;1382;4
5787548;5785642;56;3903;-1;-1;-1;56;56;3903;56;56;3903;4;1046;4;1046;4
5787549;5785642;60;4195;-1;-1;-1;60;60;4195;60;60;4195;4;873;4;873;4
5787550;5785642;145;10152;69;44;14683;145;145;10152;145;145;10152;4;15714;4;15714;4
5789447;5785642;52;3652;36;23;8289;52;52;3652;52;52;3652;16;9123;15;9123;12
5789448;5785642;56;3932;36;23;8285;56;56;3932;56;56;3932;16;8806;15;8806;12
5789449;5785642;61;4280;36;23;8422;61;61;4280;61;61;4280;16;9049;15;9049;12
5789450;5785642;46;3218;36;23;8422;46;46;3218;46;46;3218;16;9367;15;9367;12
5789451;5785642;47;3256;48;30;11051;47;47;3256;47;47;3256;21;11989;20;11989;15
5789452;5785642;68;4747;48;30;11051;68;68;4747;68;68;4747;5;1791;5;1791;4
5789453;5785642;63;4381;-1;-1;-1;63;63;4381;63;63;4381;5;1353;5;1353;4
5789454;5785642;60;4185;-1;-1;-1;60;60;4185;60;60;4185;4;1206;4;1206;4
5789455;5785642;69;4815;69;44;14716;69;69;4815;69;69;4815;6;1926;6;1926;5
5789456;5785642;143;9992;69;44;14716;143;143;9992;143;143;9992;27;15624;26;15624;21
5791353;5785642;60;4198;40;26;9339;60;60;4198;60;60;4198;18;9967;17;9967;13
5791354;5785642;57;3965;35;22;8131;57;57;3965;57;57;3965;16;9060;15;9060;12
5791355;5785642;57;3995;35;22;8044;57;57;3995;57;57;3995;16;8620;15;8620;11
5791356;5785642;62;4342;35;22;7992;62;62;4342;62;62;4342;16;8773;15;8773;11
5791357;5785642;67;4667;36;23;8422;67;67;4667;67;67;4667;16;9359;15;9359;12
5791358;5785642;71;5004;36;23;8422;71;71;5004;71;71;5004;16;2368;15;2368;12
5791359;5785642;68;4729;36;23;8422;68;68;4729;68;68;4729;5;1725;5;1725;4
5791360;5785642;65;4538;-1;-1;-1;65;65;4538;65;65;4538;5;1567;5;1567;4
5791361;5785642;66;4614;69;44;14716;66;66;4614;66;66;4614;5;1805;5;1805;4
5791362;5785642;70;4925;69;44;14716;70;70;4925;70;70;4925;5;2113;5;2113;5
5791363;5785642;143;9987;69;44;14716;143;143;9987;143;143;9987;27;15520;26;15520;21
5793258;5785642;65;4583;38;24;9089;65;65;4583;65;65;4583;18;9733;17;9733;13
5793259;5785642;61;4283;38;24;9032;61;61;4283;61;61;4283;17;9573;16;9573;12
5793260;5785642;62;4318;37;23;8619;62;62;4318;62;62;4318;16;8986;15;8986;12
5793261;5785642;61;4278;34;22;7779;61;61;4278;61;61;4278;15;8496;14;8496;11
5793262;5785642;63;4384;34;22;7821;63;63;4384;63;63;4384;16;8595;14;8595;11
5793263;5785642;80;5596;34;22;7821;78;69;5597;79;69;5597;16;8500;14;8500;11
5793264;5785642;77;5406;33;21;7533;77;77;5406;77;77;5406;5;2404;5;2404;5
5793265;5785642;70;4901;33;21;7471;70;70;4901;70;70;4901;5;1849;5;1849;5
